year,district_id,district_name,population_thousands,total_cases,api,aber,spr,pf_percent,deaths,source_url,source_sha256,metric_scope
2011,OD-DIST-puri,Puri,1727.0,38,0.02,3.89,0.06,2.63,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-rayagada,Rayagada,999.0,55686,55.74,27.07,20.59,98.06,11,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-sambalpur,Sambalpur,985.0,8125,8.25,10.53,7.83,93.12,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-subarnapur,Subarnapur,587.0,1344,2.29,10.64,2.15,47.54,1,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-sundargarh,Sundargarh,2081.0,13048,6.27,15.45,4.06,96.88,22,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2012,OD-DIST-angul,Angul,1289.0,7724,5.99,12.97,4.62,93.58,1,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-balangir,Balangir,1690.0,3920,2.32,11.26,2.06,69.01,6,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-balasore,Balasore,2356.0,441,0.19,6.64,0.28,55.33,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-bargarh,Bargarh,1496.0,994,0.66,9.9,0.67,83.2,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-bhadrak,Bhadrak,1530.0,358,0.23,8.09,0.29,69.55,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-boudh,Boudh,449.0,1657,3.69,6.92,5.33,91.43,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-cuttack,Cuttack,2656.0,480,0.18,6.31,0.29,44.38,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-deogarh,Deogarh,317.0,5922,18.68,22.12,8.44,94.75,1,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-dhenkanal,Dhenkanal,1210.0,2360,1.95,12.38,1.58,82.33,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-gajapati,Gajapati,583.0,7626,13.08,13.03,10.04,97.47,1,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
2012,OD-DIST-ganjam,Ganjam,3568.0,6287,1.76,9.81,1.8,88.31,2,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2012.pdf,ac7ad7335917f57a38e4d034942fb72ff290a1a0640345ca75b08a6eb3f953aa,official_annual_malaria_report
